id,colecao,titulo,largura_px,altura_px,arquivo
KC01-01,01_neon,KeyCore Tech Hub,2320,796,PNG/01_neon/KC01-01.png
KC01-02,01_neon,"IA: ideias, tecnologia, pessoas, impacto",2048,1563,PNG/01_neon/KC01-02.png
KC01-03,01_neon,Olá! Vamos construir?,2048,1464,PNG/01_neon/KC01-03.png
KC01-04,01_neon,Código: people first,2048,1634,PNG/01_neon/KC01-04.png
KC01-05,01_neon,Automação escala ideias,2048,1980,PNG/01_neon/KC01-05.png
KC01-06,01_neon,Deploy faster ideas,1889,2048,PNG/01_neon/KC01-06.png
KC01-07,01_neon,"Chip: tech, people, ideas, impact",2048,1619,PNG/01_neon/KC01-07.png
KC01-08,01_neon,Build a better tomorrow,2048,1839,PNG/01_neon/KC01-08.png
KC01-09,01_neon,Notebook KeyCore,2048,1516,PNG/01_neon/KC01-09.png
KC01-10,01_neon,Grandes ideias em movimento,1382,2048,PNG/01_neon/KC01-10.png
KC01-11,01_neon,Inteligência em boa companhia,2010,2048,PNG/01_neon/KC01-11.png
KC01-12,01_neon,"Tech Hub: conexão, inovação, resultados",2048,794,PNG/01_neon/KC01-12.png
KC01-13,01_neon,Ideias hoje. Um amanhã incrível.,2048,1197,PNG/01_neon/KC01-13.png
KC01-14,01_neon,KeyCore: more than tech,2048,920,PNG/01_neon/KC01-14.png
KC02-01,02_inovacao,KeyCore Tech Hub,2380,804,PNG/02_inovacao/KC02-01.png
KC02-02,02_inovacao,Bora construir?,2048,1567,PNG/02_inovacao/KC02-02.png
KC02-03,02_inovacao,Deploy ideias faster,2048,1375,PNG/02_inovacao/KC02-03.png
KC02-04,02_inovacao,"Notebook: ideias, tecnologia, pessoas, impacto",2048,1654,PNG/02_inovacao/KC02-04.png
KC02-05,02_inovacao,Automação: mais tempo para o que importa,1987,2048,PNG/02_inovacao/KC02-05.png
KC02-06,02_inovacao,Inovação transforma ideias em realidade,1550,2048,PNG/02_inovacao/KC02-06.png
KC02-07,02_inovacao,Código em ação,2048,1068,PNG/02_inovacao/KC02-07.png
KC02-08,02_inovacao,Ideias em movimento no celular,1340,2048,PNG/02_inovacao/KC02-08.png
KC02-09,02_inovacao,Tecnologia para pessoas,2048,1228,PNG/02_inovacao/KC02-09.png
KC02-10,02_inovacao,Great people build great things,2048,1637,PNG/02_inovacao/KC02-10.png
KC02-11,02_inovacao,"Construir, conectar, evoluir juntos",2048,1443,PNG/02_inovacao/KC02-11.png
KC02-12,02_inovacao,Construir um amanhã melhor,2048,1121,PNG/02_inovacao/KC02-12.png
KC02-13,02_inovacao,"Mais ideias, menos limites",2048,2048,PNG/02_inovacao/KC02-13.png
KC02-14,02_inovacao,"Tech, people, ideas, impact",2048,1397,PNG/02_inovacao/KC02-14.png
KC02-15,02_inovacao,"KeyCore: conexão, inovação, resultados",2048,571,PNG/02_inovacao/KC02-15.png
KC03-01,03_tech_people,KeyCore Tech Hub,2336,796,PNG/03_tech_people/KC03-01.png
KC03-02,03_tech_people,Tech for people,2048,1447,PNG/03_tech_people/KC03-02.png
KC03-03,03_tech_people,Grandes ideias nascem de pessoas,2048,1116,PNG/03_tech_people/KC03-03.png
KC03-04,03_tech_people,Ideias + pessoas + tecnologia = impacto,2048,1628,PNG/03_tech_people/KC03-04.png
